Date : 2024-11-18 15:33:16
Directory : d:\panling\yuehua-plugin\src
Total : 267 files,  56352 codes, 2084 comments, 8915 blanks, all 67351 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        261 |     55,950 |      2,084 |      8,888 |     66,922 |
| Markdown |          4 |        317 |          0 |         26 |        343 |
| YAML     |          1 |         84 |          0 |          1 |         85 |
| JSON     |          1 |          1 |          0 |          0 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        267 |     56,352 |      2,084 |      8,915 |     67,351 |
| .VSCodeCounter                                                                                                      |          5 |        318 |          0 |         26 |        344 |
| .VSCodeCounter\2024-10-18_14-33-33                                                                                  |          5 |        318 |          0 |         26 |        344 |
| main                                                                                                                |        262 |     56,034 |      2,084 |      8,889 |     67,007 |
| main\java                                                                                                           |        261 |     55,950 |      2,084 |      8,888 |     66,922 |
| main\java\com                                                                                                       |        261 |     55,950 |      2,084 |      8,888 |     66,922 |
| main\java\com\xiaoxiaoowo                                                                                           |        261 |     55,950 |      2,084 |      8,888 |     66,922 |
| main\java\com\xiaoxiaoowo\yuehua                                                                                    |        261 |     55,950 |      2,084 |      8,888 |     66,922 |
| main\java\com\xiaoxiaoowo\yuehua (Files)                                                                            |          1 |        268 |         30 |         52 |        350 |
| main\java\com\xiaoxiaoowo\yuehua\attribute                                                                          |         33 |      3,235 |          0 |        629 |      3,864 |
| main\java\com\xiaoxiaoowo\yuehua\attribute (Files)                                                                  |          1 |      1,895 |          0 |        306 |      2,201 |
| main\java\com\xiaoxiaoowo\yuehua\attribute\attributes                                                               |         32 |      1,340 |          0 |        323 |      1,663 |
| main\java\com\xiaoxiaoowo\yuehua\attribute\attributes (Files)                                                       |          1 |          8 |          0 |          6 |         14 |
| main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\fangyu                                                        |          6 |        204 |          0 |         42 |        246 |
| main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong                                                       |         14 |        631 |          0 |        187 |        818 |
| main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\special                                                       |          4 |        213 |          0 |         29 |        242 |
| main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\vanilla                                                       |          7 |        284 |          0 |         59 |        343 |
| main\java\com\xiaoxiaoowo\yuehua\commands                                                                           |         38 |      5,745 |        810 |        950 |      7,505 |
| main\java\com\xiaoxiaoowo\yuehua\commands (Files)                                                                   |          1 |        996 |        659 |        325 |      1,980 |
| main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand                                                              |         10 |        788 |         14 |        127 |        929 |
| main\java\com\xiaoxiaoowo\yuehua\commands\opcommand                                                                 |         12 |      1,528 |        134 |        192 |      1,854 |
| main\java\com\xiaoxiaoowo\yuehua\commands\opcommand (Files)                                                         |          8 |      1,369 |        134 |        152 |      1,655 |
| main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\data                                                            |          4 |        159 |          0 |         40 |        199 |
| main\java\com\xiaoxiaoowo\yuehua\commands\playercommand                                                             |         15 |      2,433 |          3 |        306 |      2,742 |
| main\java\com\xiaoxiaoowo\yuehua\commands\playercommand (Files)                                                     |          8 |      2,237 |          3 |        257 |      2,497 |
| main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\completer                                                   |          7 |        196 |          0 |         49 |        245 |
| main\java\com\xiaoxiaoowo\yuehua\data                                                                               |         11 |      1,127 |         14 |        344 |      1,485 |
| main\java\com\xiaoxiaoowo\yuehua\data (Files)                                                                       |          6 |        968 |         14 |        287 |      1,269 |
| main\java\com\xiaoxiaoowo\yuehua\data\slot                                                                          |          5 |        159 |          0 |         57 |        216 |
| main\java\com\xiaoxiaoowo\yuehua\display                                                                            |          4 |        734 |        134 |        203 |      1,071 |
| main\java\com\xiaoxiaoowo\yuehua\display\test                                                                       |          2 |        157 |          8 |         31 |        196 |
| main\java\com\xiaoxiaoowo\yuehua\display\utils                                                                      |          2 |        577 |        126 |        172 |        875 |
| main\java\com\xiaoxiaoowo\yuehua\entity                                                                             |         51 |      5,374 |        243 |      1,131 |      6,748 |
| main\java\com\xiaoxiaoowo\yuehua\entity\monster                                                                     |          3 |        161 |         50 |         50 |        261 |
| main\java\com\xiaoxiaoowo\yuehua\entity\monster (Files)                                                             |          2 |        111 |         34 |         34 |        179 |
| main\java\com\xiaoxiaoowo\yuehua\entity\monster\east                                                                |          1 |         50 |         16 |         16 |         82 |
| main\java\com\xiaoxiaoowo\yuehua\entity\monster\east\normal                                                         |          1 |         50 |         16 |         16 |         82 |
| main\java\com\xiaoxiaoowo\yuehua\entity\npc                                                                         |         47 |      5,195 |        188 |      1,077 |      6,460 |
| main\java\com\xiaoxiaoowo\yuehua\entity\npc\dz                                                                      |         21 |      2,521 |         84 |        492 |      3,097 |
| main\java\com\xiaoxiaoowo\yuehua\entity\npc\food                                                                    |          4 |        383 |         16 |         94 |        493 |
| main\java\com\xiaoxiaoowo\yuehua\entity\npc\fulin                                                                   |          4 |        419 |         16 |         47 |        482 |
| main\java\com\xiaoxiaoowo\yuehua\entity\npc\middle                                                                  |          4 |        322 |         16 |         74 |        412 |
| main\java\com\xiaoxiaoowo\yuehua\entity\npc\yushi                                                                   |         14 |      1,550 |         56 |        370 |      1,976 |
| main\java\com\xiaoxiaoowo\yuehua\entity\other                                                                       |          1 |         18 |          5 |          4 |         27 |
| main\java\com\xiaoxiaoowo\yuehua\event                                                                              |         30 |      6,886 |        302 |      1,086 |      8,274 |
| main\java\com\xiaoxiaoowo\yuehua\event\Inventory                                                                    |          3 |      3,633 |         39 |        428 |      4,100 |
| main\java\com\xiaoxiaoowo\yuehua\event\Projectile                                                                   |          2 |         70 |          1 |         14 |         85 |
| main\java\com\xiaoxiaoowo\yuehua\event\Spawner                                                                      |          1 |         17 |          3 |          8 |         28 |
| main\java\com\xiaoxiaoowo\yuehua\event\entity                                                                       |         12 |      1,087 |         37 |        309 |      1,433 |
| main\java\com\xiaoxiaoowo\yuehua\event\player                                                                       |         12 |      2,079 |        222 |        327 |      2,628 |
| main\java\com\xiaoxiaoowo\yuehua\guis                                                                               |          4 |      1,193 |          0 |        184 |      1,377 |
| main\java\com\xiaoxiaoowo\yuehua\itemstack                                                                          |         33 |     20,886 |        208 |      2,389 |     23,483 |
| main\java\com\xiaoxiaoowo\yuehua\itemstack (Files)                                                                  |          1 |        321 |          0 |         41 |        362 |
| main\java\com\xiaoxiaoowo\yuehua\itemstack\dz                                                                       |          6 |      7,536 |        120 |      1,174 |      8,830 |
| main\java\com\xiaoxiaoowo\yuehua\itemstack\liandan                                                                  |          2 |        274 |          5 |         43 |        322 |
| main\java\com\xiaoxiaoowo\yuehua\itemstack\monsterzhuangbei                                                         |          6 |      1,096 |         23 |        280 |      1,399 |
| main\java\com\xiaoxiaoowo\yuehua\itemstack\other                                                                    |          9 |      1,698 |         16 |        270 |      1,984 |
| main\java\com\xiaoxiaoowo\yuehua\itemstack\zhuangbei                                                                |          9 |      9,961 |         44 |        581 |     10,586 |
| main\java\com\xiaoxiaoowo\yuehua\shilian                                                                            |          1 |         86 |          1 |         20 |        107 |
| main\java\com\xiaoxiaoowo\yuehua\shilian\huancheng                                                                  |          1 |         86 |          1 |         20 |        107 |
| main\java\com\xiaoxiaoowo\yuehua\system                                                                             |         35 |      4,423 |         63 |        859 |      5,345 |
| main\java\com\xiaoxiaoowo\yuehua\system (Files)                                                                     |          7 |      1,251 |         43 |        326 |      1,620 |
| main\java\com\xiaoxiaoowo\yuehua\system\act                                                                         |          2 |      2,498 |          0 |        342 |      2,840 |
| main\java\com\xiaoxiaoowo\yuehua\system\dz                                                                          |          6 |        188 |         20 |         54 |        262 |
| main\java\com\xiaoxiaoowo\yuehua\system\handleMonsters                                                              |          6 |        105 |          0 |         31 |        136 |
| main\java\com\xiaoxiaoowo\yuehua\system\handleObsevers                                                              |         10 |        333 |          0 |         86 |        419 |
| main\java\com\xiaoxiaoowo\yuehua\system\handlePets                                                                  |          4 |         48 |          0 |         20 |         68 |
| main\java\com\xiaoxiaoowo\yuehua\task                                                                               |          6 |        321 |          2 |         72 |        395 |
| main\java\com\xiaoxiaoowo\yuehua\task\hujia                                                                         |          4 |        151 |          1 |         38 |        190 |
| main\java\com\xiaoxiaoowo\yuehua\task\other                                                                         |          2 |        170 |          1 |         34 |        205 |
| main\java\com\xiaoxiaoowo\yuehua\utils                                                                              |         14 |      5,672 |        277 |        969 |      6,918 |
| main\resources                                                                                                      |          1 |         84 |          0 |          1 |         85 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                            | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\panling\yuehua-plugin\src\.VSCodeCounter\2024-10-18_14-33-33\details.md                                          | Markdown |        223 |          0 |          6 |        229 |
| d:\panling\yuehua-plugin\src\.VSCodeCounter\2024-10-18_14-33-33\diff-details.md                                     | Markdown |          9 |          0 |          6 |         15 |
| d:\panling\yuehua-plugin\src\.VSCodeCounter\2024-10-18_14-33-33\diff.md                                             | Markdown |         12 |          0 |          7 |         19 |
| d:\panling\yuehua-plugin\src\.VSCodeCounter\2024-10-18_14-33-33\results.json                                        | JSON     |          1 |          0 |          0 |          1 |
| d:\panling\yuehua-plugin\src\.VSCodeCounter\2024-10-18_14-33-33\results.md                                          | Markdown |         73 |          0 |          7 |         80 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\Yuehua.java                                           | Java     |        268 |         30 |         52 |        350 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\AttributeSet.java                           | Java     |      1,895 |          0 |        306 |      2,201 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\MyAttribute.java                 | Java     |          8 |          0 |          6 |         14 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\fangyu\Fakang.java               | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\fangyu\Gedang.java               | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\fangyu\Hujia.java                | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\fangyu\Renxing.java              | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\fangyu\Shengji.java              | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\fangyu\ShouHu.java               | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\ArrowAdd.java            | Java     |         43 |          0 |         14 |         57 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\ArrowMul.java            | Java     |         43 |          0 |         14 |         57 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\AttackAdd.java           | Java     |         40 |          0 |         14 |         54 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\AttackMul.java           | Java     |         40 |          0 |         13 |         53 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\BaoJi.java               | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\BaojiXiaoguo.java        | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\CoolReduce.java          | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\CoolReduceUnlimited.java | Java     |         30 |          0 |          7 |         37 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\JinGongMul.java          | Java     |         87 |          0 |         31 |        118 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\JingongAdd.java          | Java     |         90 |          0 |         29 |        119 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\Pofa.java                | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\Pojia.java               | Java     |         34 |          0 |          7 |         41 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\ZhenfaAdd.java           | Java     |         45 |          0 |         14 |         59 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\jingong\ZhenfaMul.java           | Java     |         43 |          0 |         16 |         59 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\special\ArrowCountMax.java       | Java     |         30 |          0 |          7 |         37 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\special\Danlu.java               | Java     |         41 |          0 |          9 |         50 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\special\IsBow.java               | Java     |         25 |          0 |          5 |         30 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\special\SlotWithId.java          | Java     |        117 |          0 |          8 |        125 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\vanilla\AttackRange.java         | Java     |         35 |          0 |          8 |         43 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\vanilla\AttackSpeed.java         | Java     |         35 |          0 |          7 |         42 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\vanilla\DingLi.java              | Java     |         36 |          0 |          8 |         44 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\vanilla\Hp.java                  | Java     |         35 |          0 |          7 |         42 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\vanilla\HpMul.java               | Java     |         54 |          0 |         11 |         65 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\vanilla\Jump.java                | Java     |         35 |          0 |          8 |         43 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\attribute\attributes\vanilla\Speed.java               | Java     |         54 |          0 |         10 |         64 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\Test.java                                    | Java     |        996 |        659 |        325 |      1,980 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\BlockTp.java                    | Java     |         42 |          0 |          6 |         48 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\IntoGame.java                   | Java     |        129 |         12 |         23 |        164 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\MarkRelife.java                 | Java     |         64 |          0 |          8 |         72 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\MyBossSpawn.java                | Java     |         38 |          0 |          9 |         47 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\MySpawn.java                    | Java     |         39 |          0 |         11 |         50 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\Relife.java                     | Java     |        123 |          1 |         19 |        143 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\RenOu.java                      | Java     |         64 |          0 |         10 |         74 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\RenOu2.java                     | Java     |         65 |          0 |          8 |         73 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\Select.java                     | Java     |        166 |          1 |         19 |        186 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\blockcommand\StoreRelifeStone.java           | Java     |         58 |          0 |         14 |         72 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\Clearup.java                       | Java     |         63 |          0 |          9 |         72 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\GI.java                            | Java     |        963 |        134 |         95 |      1,192 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\MySave.java                        | Java     |         22 |          0 |          4 |         26 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\MyTp.java                          | Java     |         98 |          0 |          6 |        104 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\MyTpTab.java                       | Java     |         26 |          0 |          6 |         32 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\PerGet.java                        | Java     |         55 |          0 |         13 |         68 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\SetSign.java                       | Java     |         45 |          0 |         14 |         59 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\Summon.java                        | Java     |         97 |          0 |          5 |        102 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\data\DataCountGet.java             | Java     |         29 |          0 |          5 |         34 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\data\DataGet.java                  | Java     |         34 |          0 |          5 |         39 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\data\DataSet.java                  | Java     |         53 |          0 |         23 |         76 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\opcommand\data\ItemDataGet.java              | Java     |         43 |          0 |          7 |         50 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\ArrowCMD.java                  | Java     |        171 |          0 |         28 |        199 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Buy.java                       | Java     |         82 |          0 |         16 |         98 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Kill.java                      | Java     |         14 |          0 |          3 |         17 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\MoneyCMD.java                  | Java     |        416 |          2 |         62 |        480 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Sale.java                      | Java     |         98 |          0 |         23 |        121 |
| d:\panling\yuehua-plugin\src\main\java\com\xiaoxiaoowo\yuehua\commands\playercommand\Sell.java                      | Java     |        135 |          1 |         27 |        163 |
